block_off	str_off	speaker	text	english
0x5864	0x226b		とダダダ？むむむむ	
0x5864	0x285e		１ゐマい５ゐマぴ８ゐマぴ８ゐマぴ８ゐマぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x5864	0x2890		ゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x5864	0x2b01		ゑめ？ゑゆゐ・	
0x5864	0x3101		ゑめ？ゑゆゐ・	
0x5864	0x395e		１ゐマい５ゐマぴ８ゐマぴ８ゐマぴ８ゐマぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x5864	0x3990		ゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x5864	0x3a7b		ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐマにたゐゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐマにたゐゑゑゑゑパパパパきききき陳陳	
0x5864	0x4c7c		ぃ１き！	
0x5864	0x5344		つトつトた、	
0x76e3	0x20cb		とははダ？むむむむゑゑむびヮ	
0x76e3	0x297b		ソダむソ？むゑめ？ゑむゐ・む・んばむサゐソめソゐソむゃゐソダむめ・サゐむとゃめソゃゃめダむゃめむゐダゐゑめッロヮロゃィゆ	
0x76e3	0x2a01		ゑめ？ゑゆゐ・	
0x76e3	0x3017		とダダダ？むむむソンン	
0x76e3	0x39fb		ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐマにたゐゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐマにたゐゑゑゑゑパパパパきききき陳陳	
0x76e3	0x3fde		１ゐマい５ゐマぴ８ゐマぴ８ゐマぴ８ゐマぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x76e3	0x4010		ゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x76e3	0x41de		１ゐマい５ゐマぴ８ゐマぴ８ゐマぴ８ゐマぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x76e3	0x4210		ゑぴ８ィマふ⟨18⟩ゐマヒ！ゐマ！１ゐマい５ゐマぴ８ゐマぴ８ゐ	
0x76e3	0x541c		よ。りぇはばえょより	
0x76e3	0x579d		ょよぇはばえら。よ	
0x76e3	0x5b1d		よりぇはばえよ。ら	
0x76e3	0x5e4a		よ。りぇはばえょより	
0x9a1d	0xe18		モモヒぽモヒメ！ヒメヒ。モパパ。マパパ！マメパゑ	
0x9a1d	0x13ce		パパマヒァゑァモア。モゑゑ。アゑマ！ゑゑゑゑツ	
0x9a1d	0x14d8		ナパパ。パパメ！パパパ。パパパ。パパナ。メモモろピピパモマょモめマょゑゑゑょゑゑ	
0x9a1d	0x1524		パパろ⟨1a⟩ヒごご。パパメ！	
0x9a1d	0x27e2		パ。ヒパパ。モモナ。ゑヒパ。ぷゑマメぷゑヒモぷゑヒメぷゑモモ	
0x9a1d	0x48c3		はたたたテたたフたメたたた９ぁく及８区筒ち９ぢ敦だヅヲヅだヲザちザルヅヲヱザリヰヲく願ぁあくぁぐちけ葛ぐだげさよょザシょらジヅムフニヅテムザリラリヲヲルペヲヲムムホベムムベペソしセししゾしゼしギすすすすルブベリメリラドすじじたすヅじヅザすザすザデザプトヅヘヅわヅ！ヅたたた	
0x9a1d	0x496d		ゐ？？た	
0xbedf	0x4ec8	レイナ	７レイナ７未使用\n\n\nここ７７ここ７こ７こ７こ	
0xbedf	0x4fb0		ユユ７こ７７ュュボボここホ⟨17⟩。⟨1f⟩	
0xdfad	0xb38		ゑヮパ！ょ	
0xdfad	0x4e8a		敷・、ぉがヲ	
0xdfad	0x4f1e		ねに壌ぉおぱはばひひはばは⟨14⟩、びぴ壌ふぶ	
0xdfad	0x4ffd		・テミスを換金して。わゑイイゥわギ	
0x11464	0x4c23		ふなにば、ぬね、ぱ	
0x11464	0x6218		・、ぱフローディーテの森	
0x11464	0x6226		・、ぱフローディーテの森	
0x11464	0x6234		・、ゑフローディーテの森	
0x11464	0x6242		・、ゑフローディーテの森	
0x13ad7	0x33ff		むぶ、へへ	
0x189aa	0x5b32		ぉぉぉぉぉぉぉ、⟨14⟩・ぉぉぉぉぉぉ	
0x189aa	0x5b72		ぉぉぉぉぉぉぉ、⟨14⟩・ぉぉぉぉぉぉ	
0x189aa	0x5bb2		けけけけけけけ、⟨14⟩・けけけけけけ	
0x1c442	0x5291		粗てて覗◇！タタ	
0x1c442	0x570d		かかなでづづづづづづとかかか	
0x3c0f3	0x28	レイナ	石版に、何か書いてあるわ。\n魔導言語の様ね。\n・・・これなら、私にもわかりそう。\nレイナ\n・・・・・ええっと。\nふむふむ・・・ここが、ああなるのか。・・・ここの単語は、あれだから・・・・・・・・そっか。\nレイナ\n・・・だいたいわかったわ。\nこれは移動魔法の一種で、石版に弱い魔力を送り込めば、作動する仕組みになっているの。	{REINA}\nThere's something on this tablet.\nLooks like magic script.\n...I think I can read this.\p{REINA}\n{...}..Let's see.\nMmhm... so this goes there. And\nthis word means... ...I see.\p{REINA}\n...I've mostly got it.\nIt's a kind of transport spell. Feed\na little magic into the tablet and\nit activates.
0x3c0f3	0x155	ファーニス	よくわかんないけど、凄いねぇ。\nねぇ、やってみようよ。	{FURNIS}\nI don't really get it, but wow.\nHey, let's give it a try!
0x3c0f3	0x184	レイナ	試してみる？	{REINA}\nShall we try it?
0x3c0f3	0x19a		・試してみよう。\n・やめておこう。	・Let's try it.\n・Better not.
0x3c0f3	0x1b9	レイナ	ここは、西の管制室の２階よ。\n１階に降りる？	{REINA}\nThis is the 2nd floor of the west\ncontrol room. Go down to floor 1?
0x3c0f3	0x1ed		・行く。\n・行かない。	・Go.\n・Don't go.
