block_off	str_off	speaker	text	english	status
0x0	0x531d		のでぞざっ\n\nけのワののの１１ワワワンワンワワワワワワ１のワつてぺづぺげの		
0x0	0x54cd		ぬてづぺづぺちので１つぼ\nご１１１ワンワワ１でほワ１ワ１１１ワワワワワワワンワの１の１１ワの１１の		
0x3153	0x39c4		れぁれぁ５５５５１、１、		
0x52a4	0xed3		陳５、槌蔦４と辻４と４４５・は４５む層４む・４４		
0xa2b9	0x4a1a		ぽぽ。。。。		
0xa2b9	0x4bdb		ミこここ！		
0xa2b9	0x4c05		めぇョしョしョしラぢルめ⟨1a⟩ユぇしョしョヨぎリじしラぢルユぎユぎ⟨1a⟩めぇョ。。。。。。。。セ		
0xa2b9	0x4cc0		姫そそ永そそ\n\n。グ面そそ		
0xa2b9	0x4dd2		コ・⟨18⟩⟨18⟩！コ\nみせみみ		
0xe3f3	0x132d		ょょょ？ヱヤ		
0x114a8	0x35b4		みむむ・ばとむむ。とひへヲむ⟨18⟩とぇ		
0x14629	0x2af5		ピ。とはピ。はぶピ。は		
0x14629	0x2b0d		ピ。ボとはははは５パいドパパパメヒヱビメパ		
0x14629	0x3335		ピねはヤピねはヤピねヌヤピ。ヌヤピ。ヌヤピ。と		
0x16e27	0x4eff		ぴ！ぱナイフゴササザザゴゴサバパヘ		
0x16e27	0x5382		っ？⟨1f⟩はサが		
0x16e27	0x5654		びオオへ⟨1f⟩ーゃけニれ、⟨17⟩		
0x16e27	0x5947		シ画ィヘゐくクニぞれ派？⟨1b⟩フィニーぬ		
0x1c000	0x1ed6		くえオときえぢとオ。ぞとそ⟨1b⟩クとオ⟨1b⟩オとオ。きときえ		
0x1c000	0x383c		むむむ・ゑゑゑ１ゑゑ⟨1a⟩！モモヅ、いパヅ⟨18⟩		
0x1c000	0x43bc		むむむむゑゑゑゑゑゑゑゑモモモモいパい！		
0x1c000	0x453f		むヒごハょモヒオ！モモご。モモヒナ		
0x1e753	0x4eac		・お店を出よう。へへっケケゲコゲグケグケケグゲケココケゼゼゼゼソソゼゼ◇◇ソソグケググソソツヅゼゼツヅ銅凌芝刃グケ◇◇		
0x1e753	0x51ca		れわぅわれ？！ぅぅぅぅぅぅ？！れわわチれ？⟨1f⟩		
0x1e753	0x51e6		ぅぅぅぅ？⟨1f⟩		
0x1e753	0x520a		るチッチる？！ぉぇ唾ぇお？！るッチッる？⟨1f⟩		
0x1e753	0x524a		ゐわわぅゐ？！きが班かぎ？！ゐぅわわゐ？⟨1f⟩		
0x1e753	0x5326		ぅぅぅぅ？⟨1f⟩		
0x1e753	0x53d2		さたちざ？・トナナナ⟨18⟩！？⟨1f⟩		
0x1e753	0x5412		けしすげ？ソサヂぅゴ？ヮワ⟨1f⟩		
0x1e753	0x54d2		ゑぇぇを？セゾわぅジ？！？⟨1f⟩		
0x1e753	0x59b0		ゎりぬハゎりゅ！？・トナナナナ⟨18⟩⟨1f⟩		
0x1e753	0x59c6		・ナナナナト⟨18⟩！？ゆょらハごょゎりぅぅぅぅぅぅぅぅぅぅ		
0x1e753	0x5a05		Ιれッれチれ？！？ゆりよハごゎゎょぅぅぅぅぅぅぅぅぅぅ		
0x1e753	0x5a47		るぅるダる？！？ゆらょハごゎらゎぅぅぅぅぅぅぅぅぅぅ		
0x1e753	0x5a70		ょゎぬハゎよゅ！？！ゐゐゐチゴ？・篠貼⟨18⟩！ゐチゐッゐ？！？ゆりりハごよりゎ		
0x1e753	0x5c07		ぅぅぅぅぅ？ゲコゆりょハごゎょり		
0x1e753	0x5c47		ぅぅぅぅぅ？！？ゆぼりハごゎゎら		
0x1e753	0x5c65		ぅぅぅぅぅぅ？⟨1f⟩		
0x1e753	0x5c70		ゎょぬハゎょゅ！？！チッぅヂヂ？ぁ侍ち裁！ぅぅぅぅぅ？！？ゆゎょハごよりゎ		
0x1e753	0x5ca5		ぅぅぅぅぅぅ？⟨1f⟩		
0x1e753	0x5cb0		よゎぬハりりゅ！？！わわぅわわ？ヮヰヱヲヰワ！ぅぅぅぅぅ？！？ゆりぼハごょらゎ		
0x1e753	0x5ce5		ぅぅぅぅぅぅ？⟨1f⟩		
0x1e753	0x5d87		ナナトナナ嫉？ゆょぼハごゎりよ		
0x21473	0x9a0		は槌陳犯はにぶはぶははには		
0x21473	0xc1a		４　はは８　犯８　はは８　はに４　には８		
0x21473	0xda0		は槌陳犯はにぶはぶははにはダダダダンンン		
0x21473	0xe20		は槌陳犯はにぶはぶははにはダダダん		
0x21473	0x1020		は槌陳犯はにぶはぶははにはロンンンロンン		
0x21473	0x2fb2		には４はレはには		
0x21473	0x4ec7		です。ザヲヲリリ		
0x21473	0x52f6		む！ポップる！ポップ砂鯨シンシア		
0x21473	0x618a		たサョ\nュぇ⟨1f⟩。\nフぇ		
0x239f2	0x4855		ざ、うぅッさうウォーリックう		
0x239f2	0x4dfb		ただぜっただぜっそぞぜっ		
0x239f2	0x53f4		レイナレイナレイナレイナ石の王国砂の海８石の王国ぅ！。せ。⟨17⟩		
0x25bca	0x603d		ろ９ゎっゎっゎぢゎつゎぱゎめゎにゎらゎ　？ルず		
0x28047	0x33e		ででょょ？？ゴゴゴゴ		
0x28047	0x1338		よょょツ？		
0x28047	0x13b8		よょょツ？		
0x2ba14	0x3848		ょょょょヤヤヤヤュレレレ⟨18⟩はははぶぶぶは？？？ヰンンン		
0x2ba14	0x393a		ぶぶ？？？？		
0x2df31	0x122		公ョプぶゅ？⟨18⟩しぇゴで		
0x2df31	0x331d		テむ１触、・ロレテ・モ触やヒロ		
0x2df31	0x38fe		１地の法皇よ。		
0x2df31	0x4288		ぺピヒメぺピモマ！		
0x5e8a8	0x24	ウォーリック	ふぁぁぁぁぁっ。\n・・・もう、朝かぁ。\n今日の朝御飯は何かな。	Yawn.\n...Morning already, huh.\nWhat's for breakfast?	
0x5e8a8	0x7a	レイナ	おはよう、ウォーリック。	Good morning, {WARRICK}.	
0x5e8a8	0x96	ウォーリック	おはよう、レイナ。	Morning, {REINA}.	
0x5e8a8	0xab	レイナ	朝御飯できるまでもう少しかかるから、まだ寝てていいわよ。\nレイナ\nそうそう。\nブージさんが旅から帰って来るって、今朝ダ　ン君が言いに来たわ。	Breakfast needs a bit longer.\nGo rest some more.\p{REINA}\nOh, right.\n{DAN} says {BOOJ} is back in town.	
0x5e8a8	0x10e	ウォーリック	そっか。\n御飯できるまで、ちょっと散歩行ってくるね。	I see.\nThink I'll take a walk first.	
0x5e8a8	0x146	レイナ	何処に行くのウォーリック？\nもうすぐ御飯よ。	Where are you going, {WARRICK}?\nFood's almost ready.	
0x5e8a8	0x16f	レイナ	御飯もうすぐできるわよ。	Almost ready, OK?	
0x5e8a8	0x18c	レイナ	あらっ\nブージさん、いらっしゃい。\n朝御飯、一緒にいかが？	Oh my.\nWelcome back, {BOOJ}.\nJoin us for breakfast?	
0x5e8a8	0x1bd	レイナ	おかえりなさい。\nどうしたの二人共？	Welcome home.\nWhat's wrong, you two?	
0x5e8a8	0x1e5	ブージ	ウォーリック。\nとにかく大婆様の家に行こう。\nレイナさん、旦那さんを借りるぜ。	{WARRICK}.\nWe need to see {Granny}. Now.\n{REINA}, I'm borrowing your husband.	
0x5e8a8	0x225	レイナ	もうっ、ウォーリックったら。\n朝御飯も食べずにどこ行ってたのよ。それより、お客さんが来てるのよ。\n誰だと思う？	Honestly, {WARRICK}!\nRunning off before breakfast.\nGuess who's here?	
0x5e8a8	0x2c9	ファーニス	へへっ、ウォーリック。\nひさしぶりぃ、元気だったぁ？	{Haha}, {WARRICK}.\nLong time! How've you been?	
0x5e8a8	0x300	ウォーリック	ああっ！\nファーニス。	Ah!\n{FURNIS}!	
0x5e8a8	0x320	レイナ	今ファーニスは、行方不明になったお兄さんを探して１人で旅をしているそうよ。	Searching alone for\nher missing brother.	
0x5e8a8	0x358	ウォーリック	・・・行方不明？	...Missing?	
0x5e8a8	0x37d	ファーニス	うん。\n２年ほど前の事なんだけどね。\nお兄ちゃん、エルフの国に住む神官竜カーネル様の所に呼ばれたの。\nファーニス\nそれで、それっきり帰って来ないのよ。カーネル様に聞いても、何も知らないって言うし・・・。	Two years ago, my brother\nwas summoned by Karnel,\nthe Elf priest dragon.\p{FURNIS}\nHe never came back.\nKarnel claims he knows nothing...	
0x5e8a8	0x40d	レイナ	ファーニスの兄さんて、かなり強い魔法剣士なんでしょ？	Your brother's a strong\nspellblade, right?	
0x5e8a8	0x440	ファーニス	・・・うん。\nお兄ちゃんの事だからそう簡単に死ぬはずないし、あんまり心配してないけどね。\nファーニス\nそれよりウォーリック、どうしたの？血の匂いがするよ。\nこれって、竜の血の匂いじゃない？	...Yeah.\nHe won't die that easily.\nI'm not worried.\p{FURNIS}\n{WARRICK} - I smell blood.\nDragon blood?	
0x5e8a8	0x4c9	ウォーリック	ああ。\n実は氷の洞窟で・・・・・。	Yeah.\nTruth is, at the Ice Cavern...	
0x5e8a8	0x4fc		ウォーリックは氷の洞窟での出来事を話した。	{WARRICK} told them about\nthe Ice Cavern.	
0x5e8a8	0x524	ファーニス	・・・なんか、すごい事になったね。	...Quite a story.	
0x5e8a8	0x54d	レイナ	ウォーリック。\nそのパディッシュって人・・・探しに行くんでしょ？	{WARRICK}.\nThis Paddish guy...\nYou're going after him?	
0x5e8a8	0x58b	ウォーリック	ああ。\n・・・そのつもりだ。	Yeah.\n...That's the plan.	
0x5e8a8	0x5b1	レイナ	・・・わかったわ、ウォーリック。\nすぐ旅の支度するわね。	...All right, {Warrick}.\nI'll get ready right away.	
0x5e8a8	0x5f9		レイナが仲間に加わった。	{REINA} joined the party.	
0x5e8a8	0x618	レイナ	ごめんね、ファーニス。\nせっかく来てくれたのに・・・。	Sorry, {FURNIS}.\nAnd you came all this way...	
0x5e8a8	0x64a	ファーニス	へへっ。\n苦労するね、レイナ。\nもちろん私も連れてってくれるんでしょ？\nファーニス\n私もお兄ちゃん探してるし。\nいいでしょ・・・・・ねっ。	{Haha}.\nRough day, {REINA}.\nCould I come along too?\p{FURNIS}\nY'know, 'cause I'm on my own quest.\nCould I...?	human
0x5e8a8	0x6bd		ファーニスが仲間に加わった。	{FURNIS} joined the party.	
0x5e8a8	0x6e8	レイナ	ウォーリック。\nあなたの３剣７はベットの下にしまってあるわ。	{WARRICK}.\nYour sword's\nunder the bed.	
0x5e8a8	0x71d	レイナ	はい、ウォーリック。\nひさしぶりだから３剣７の振り方おぼえてる？	Here, {WARRICK}.\nRemember how to swing?	
0x5e8a8	0x75c		ベットの下からブロードソードを出した。	You took the broadsword\nfrom under the bed.	
0x5edb9	0x10	ダ　ン	ああっ、ウォーリック。\nブージが狩りから帰って来るよ。\n・・・ランバートお兄ちゃんも早く帰って来ないかなぁ。	Ah, {WARRICK}!\n{BOOJ} is back from the hunt.\n...Wish {LAMBERT} would hurry\nhome too.	
0x5edb9	0x5d	ダ　ン	ブージ　おかえりぃ。\nお兄ちゃんの事、何かわかった？\nランバート兄ちゃん・・・死んじゃったのぉ？	{BOOJ}, welcome back!\nAny news of my brother?\nIs {LAMBERT}... dead?	
0x5edb9	0xad	ブージ	・・・ダ　ン。\nランバートは必ず俺が捜し出して来る。\nブージ\nだから、お前はそんな心配するな。\n・・・わかったな。	...{DAN}.\nI promise you I'll find {LAMBERT}.\p{BOOJ}\nNo more worrying.\n...Hear me?	
0x5edb9	0x108	ダ　ン	・・・うん。	...OK.	
0x5edb9	0x123	ダ　ン	ねえ　ブージィィ。\n今度は僕も一緒に連れて行ってよ。\n僕も、ランバート兄ちゃんを探すんだ。	{BOOJ}, take me next time!\nI'll help look for {LAMBERT} too.	human
